customer_id,tenure_months,contract_type,service_type,monthly_charges,total_charges,payment_method,location_type,num_services,data_usage_gb,support_calls,autopay_enabled,late_payment_count,referral_count,churn
CUST000001,8,One Year,Standard,6249.78,53285.48,Credit card,Urban,1,70.23,3,No,0,1,0
CUST000002,54,Month-to-Month,Standard,6350.64,313700.83,Bank Transfer,Rural,2,53.42,5,Yes,0,1,0
CUST000003,23,Month-to-Month,Basic,1506.62,33158.72,Credit Card,Rural,1,26.42,2,Yes,1,1,0
CUST000004,16,One Year,Premium,8585.38,126952.4,M-Pesa,Rural,2,272.14,0,No,3,0,0
CUST000005,3,Month-to-Month,Premium,11186.89,34941.88,Credit Card,Rural,2,,2,No,1,0,0
CUST000006,3,Two Year,Standard,5109.34,16005.58,Bank Transfer,Urban,3,33.55,3,Yes,1,1,0
CUST000007,1,Monthly,Standard,,5062.88,M-Pesa,Rural,2,86.1,2,No,1,1,1
CUST000008,36,Two Year,Standard,6059.97,233323.88,Bank Transfer,Suburban,3,63.47,1,Yes,2,1,0
CUST000009,16,Month-to-Month,Basic,2163.94,31813.48,BankTransfer,Suburban,1,24.24,2,Yes,1,0,0
CUST000010,22,Two Year,Basic,,48901.13,Bank Transfer,Suburban,1,67.99,3,No,0,0,0
CUST000011,0,Two Year,Standard,4866.3,34.85,Cash,Rural,0,85.05,5,1,0,2,1
CUST000012,63,Month-to-Month,Premium,10263.98,704240.62,M-Pesa,Urban,1,127.33,4,No,1,1,0
CUST000013,32,Two Year,Basic,2050.74,63814.65,Bank Transfer,Rural,1,14.72,3,No,1,0,0
CUST000014,4,One Year,Standard,5824.96,22239.5,Credit Card,Urban,1,49.35,1,Yes,1,0,0
CUST000015,3,Month-to-Month,Premium,11519.96,33887.23,Debit Card,Suburban,1,393.11,2,Yes,2,1,0
CUST000016,3,One Year,Basic,1923.47,5817.55,Bank Transfer,Rural,1,7.34,3,Yes,4,1,0
CUST000017,6,Month-to-Month,Basic,2947.48,16358.11,M-Pesa,Suburban,1,22.01,2,No,0,0,0
CUST000018,13,One Year,Standard,5368.18,78822.97,Credit Card,Urban,4,37.78,2,No,0,0,0
CUST000019,10,Month-to-Month,Basic,2817.25,28206.89,debit card,Suburban,0,55.18,2,Yes,0,0,0
CUST000020,6,Month-to-Month,Basic,1655.87,8663.13,M-Pesa,Suburban,1,80.45,5,Yes,0,1,1
CUST000021,17,Month-to-Month,Standard,4254.5,83114.72,M-Pesa,Urban,4,73.29,3,Yes,1,1,0
CUST000022,2,One Year,Standard,4463.06,8883.55,Debit Card,Suburban,0,105.28,4,No,0,2,0
CUST000023,6,Two Year,Premium,8514.11,57934.95,Bank Transfer,Urban,1,115.96,3,Yes,2,2,0
CUST000024,8,Two Year,Standard,4015.58,31067.29,M-Pesa,Rural,1,,3,No,0,1,0
CUST000025,10,Month-to-Month,Standard,6104.6,56005.35,,Urban,0,75.1,2,No,2,2,0
CUST000026,27,Month-to-Month,Standard,4755.84,137532.74,,Suburban,2,72.26,6,Yes,2,1,0
CUST000027,4,One Year,Premium,11815.65,46305.46,Cash,Suburban,2,89.8,2,Yes,2,1,1
CUST000028,12,One Year,Basic,2375.21,31764.26,M-Pesa,Rural,2,34.61,5,No,2,1,0
CUST000029,16,Month-to-Month,Basic,1707.59,27030.42,M-Pesa,Urban,3,40.12,2,No,2,0,1
CUST000030,0,Month-to-Month,Premium,,204.22,,Suburban,1,121.84,3,Yes,0,1,1
CUST000031,16,Month-to-Month,Premium,11967.73,218291.97,M-Pesa,Urban,2,291.79,5,Yes,1,1,0
CUST000032,3,Month-to-Month,Basic,2347.76,7741.35,M-Pesa,Rural,3,,2,Yes,1,1,1
CUST000033,1,One Year,Basic,1502.8,1370.08,Credit Card,Rural,1,35.82,5,No,2,1,0
CUST000034,53,Month-to-Month,Standard,6299.24,332743.47,M-Pesa,Rural,2,60.52,3,No,1,1,1
CUST000035,60,Two Year,Basic,1852.34,98247.64,Bank Transfer,Rural,2,12.99,2,Yes,0,0,0
CUST000036,29,Month-to-Month,Standard,5565.59,142408.78,Bank Transfer,Urban,1,34.82,7,1,2,0,1
CUST000037,6,Month-to-Month,Basic,2272.62,15081.38,Bank Transfer,Suburban,1,17.08,2,Yes,0,1,1
CUST000038,1,Two Year,Basic,1988.15,2245.71,Credit Card,Urban,2,37.02,1,No,1,0,0
CUST000039,20,One Year,Standard,4347.92,93188.92,Bank Transfer,Rural,2,48.07,1,yes,0,0,0
CUST000040,10,Month-to-Month,Premium,11643.8,133527.72,M-pesa,Urban,0,195.93,2,Yes,2,0,1
CUST000041,2,One Year,Standard,23249.1,40155.09,M-Pesa,Suburban,3,27.39,2,0,2,1,1
CUST000042,12,Month-to-Month,Standard,5039.4,57416.12,Bank Transfer,Urban,0,181.27,2,Yes,2,1,0
CUST000043,0,One Year,Premium,8292.48,371.17,,Rural,2,243.57,1,Yes,2,0,0
CUST000044,43,Month-to-Month,Standard,3807.03,177552.23,M-Pesa,Suburban,1,104.94,2,No,2,1,1
CUST000045,5,One Year,Standard,3969.73,22173.4,M-Pesa,Suburban,2,154.91,5,Yes,1,0,1
CUST000046,19,Month-to-Month,Standard,5066.76,94741.11,BankTransfer,Suburban,0,83.12,4,No,0,1,0
CUST000047,6,Month-to-Month,Basic,1961.74,12932.94,M-Pesa,Urban,3,6.8,2,Yes,3,2,1
CUST000048,13,Two Year,Standard,3626.2,52056.79,cash,Suburban,1,158.15,1,No,2,3,0
CUST000049,14,One year,Standard,4865.5,60754.07,M-Pesa,Rural,1,13.37,5,Yes,1,2,0
CUST000050,3,Month-to-Month,Basic,2619.28,7567.86,M-pesa,Suburban,0,8.67,5,Yes,0,0,1
CUST000051,62,Month-to-Month,Basic,2837.54,159462.31,M-Pesa,Rural,1,14.38,4,True,2,0,0
CUST000052,26,Month-to-Month,Basic,2377.93,64980.15,Bank Transfer,Urban,0,70.94,1,No,0,0,0
CUST000053,50,One Year,Standard,5669.88,273911.54,Bank Transfer,Urban,1,95.02,3,Yes,0,1,0
CUST000054,40,One Year,Basic,,85963.65,Credit Card,Urban,0,29.24,1,Yes,2,0,0
CUST000055,16,One Year,Basic,2244.36,39959.0,Bank Transfer,Urban,1,30.76,1,Yes,0,0,1
CUST000056,45,Month-to-Month,Premium,10648.13,466624.21,Mpesa,Rural,0,,3,no,0,2,0
CUST000057,1,12 Months,Standard,5682.97,6487.55,M-Pesa,Suburban,0,151.49,1,N,0,0,0
CUST000058,3,Month-to-Month,Basic,2136.79,6234.62,Credit Card,Urban,1,9.94,1,Yes,1,2,1
CUST000059,0,Month-to-Month,Standard,5131.0,128.37,M-Pesa,Suburban,1,67.44,1,Yes,0,1,1
CUST000060,7,One Year,Basic,2885.78,20377.88,M-Pesa,Urban,1,41.82,2,YES,2,0,0
CUST000061,8,Two Year,Standard,5395.99,41860.45,M-Pesa,Urban,2,200.6,1,Yes,1,0,0
CUST000062,5,One Year,Standard,5427.72,24085.54,M-Pesa,Suburban,0,73.9,3,Yes,2,1,1
CUST000063,31,One Year,Standard,5853.86,155511.82,M-Pesa,Suburban,1,56.56,6,No,0,0,0
CUST000064,7,One Year,Standard,3845.67,28890.24,CreditCard,Suburban,4,50.29,0,YES,1,1,0
CUST000065,5,Two Year,Basic,2284.33,12904.82,Bank Transfer,Urban,1,12.29,0,No,1,1,0
CUST000066,14,Month-to-Month,Standard,6378.3,87701.51,Cash,Urban,3,203.06,2,Yes,1,1,0
CUST000067,2,Month-to-Month,Basic,2042.49,3552.39,Bank Transfer,Suburban,2,15.96,0,Yes,1,1,0
CUST000068,29,Two Year,Basic,1942.39,60395.86,Bank Transfer,Urban,1,19.03,2,Yes,2,2,0
CUST000069,1,Two Year,Premium,10006.04,11107.92,M-Pesa,Suburban,1,99.44,2,N,0,2,0
CUST000070,72,Month-to-Month,Standard,4163.36,283903.18,bank transfer,Rural,2,81.48,2,No,1,2,0
CUST000071,26,Month-to-Month,Premium,9779.73,233067.68,Bank Transfer,Rural,2,126.66,5,Yes,1,1,1
CUST000072,3,Month-to-Month,Basic,1733.48,4946.22,M-Pesa,Suburban,0,12.31,4,Yes,2,1,0
CUST000073,0,Month-to-Month,Standard,5239.38,483.71,M-Pesa,Urban,1,120.08,2,Yes,2,2,1
CUST000074,30,Two Year,Basic,2403.57,70332.39,M-Pesa,Suburban,0,20.87,5,Yes,0,1,0
CUST000075,22,Month-to-Month,Standard,4755.2,109452.57,M-Pesa,Urban,1,69.4,2,No,2,0,0
CUST000076,23,24 Months,Basic,2074.12,41613.17,Bank Transfer,Rural,2,23.22,3,Yes,0,0,0
CUST000077,26,Month-to-Month,Basic,,45389.49,Bank Transfer,Suburban,1,19.74,3,Yes,0,0,0
CUST000078,1,Month-to-Month,Basic,1996.38,1833.49,Bank Transfer,Urban,1,31.35,0,Yes,3,0,0
CUST000079,7,Month-to-Month,Standard,4995.04,30377.38,Bank Transfer,Urban,0,68.48,1,No,2,0,1
CUST000080,2,One Year,Basic,1871.49,3316.97,Bank Transfer,Urban,1,19.73,4,Yes,0,0,1
CUST000081,35,One Year,Premium,10914.17,372438.99,M-Pesa,Urban,1,129.63,2,No,1,1,0
CUST000082,17,One Year,Basic,2563.55,44338.76,Credit Card,Suburban,3,,2,Yes,2,1,0
CUST000083,7,Month-to-Month,Basic,1903.96,12575.7,BankTransfer,Urban,0,,2,Yes,2,0,0
CUST000084,1,Month-to-Month,Standard,3792.31,3700.72,M-Pesa,,2,152.77,3,No,0,0,1
CUST000085,6,Monthly,Premium,7000.9,45275.43,Bank Transfer,Suburban,2,,3,Yes,2,0,1
CUST000086,7,Month-to-Month,Basic,2395.08,15493.98,Bank Transfer,Suburban,3,9.12,3,Yes,3,1,1
CUST000087,23,One Year,Basic,1817.05,35951.06,Bank Transfer,Urban,3,42.84,2,No,2,1,0
CUST000088,18,One Year,Standard,3537.75,59037.01,M-Pesa,Urban,0,70.63,0,Yes,1,0,0
CUST000089,39,1 Year,Basic,2038.63,89557.73,Credit Card,Urban,1,12.56,5,No,0,1,0
CUST000090,11,Month-to-Month,Standard,6386.0,60088.92,M-Pesa,Suburban,2,72.29,1,True,3,0,1
CUST000091,2,Month-to-Month,Basic,2534.91,4505.46,Bank Transfer,Rural,0,69.49,4,No,1,1,0
CUST000092,22,Month-to-Month,Standard,6073.29,116179.22,M-Pesa,Suburban,3,16.45,2,No,1,0,1
CUST000093,25,Month-to-Month,Basic,1717.11,41342.74,Bank Transfer,Suburban,2,52.13,2,NO,1,0,0
CUST000094,14,One Year,Standard,3719.86,54386.43,M-Pesa,Rural,2,64.26,1,Yes,0,0,0
CUST000095,26,One Year,Standard,,103212.43,,Urban,2,68.56,2,No,0,0,0
CUST000096,12,Month-to-Month,Standard,6366.99,83144.19,Bank Transfer,Urban,3,51.09,3,Yes,1,0,1
CUST000097,13,Month-to-Month,Standard,4400.61,52929.43,Cash,Suburban,2,185.71,2,Yes,0,2,0
CUST000098,10,Two Year,Premium,9297.52,96736.28,debit card,Suburban,2,,6,No,0,0,1
CUST000099,0,One Year,Basic,2091.79,318.75,Cash,Suburban,1,34.29,2,No,3,0,0
CUST000100,2,One Year,Basic,2595.69,4553.63,Credit Card,Rural,1,58.67,3,Yes,1,2,0
CUST000101,0,Month-to-Month,Standard,4429.89,108.7,Bank Transfer,Urban,3,107.06,1,Yes,1,1,1
CUST000102,18,Month-to-Month,Standard,5106.36,86709.8,M-Pesa,Suburban,2,54.8,3,No,1,0,0
CUST000103,6,Two Year,Basic,2993.37,16112.75,MPESA,Rural,1,11.12,2,No,3,0,1
CUST000104,12,One Year,Standard,4832.19,50308.99,M-Pesa,Rural,2,46.03,3,Yes,3,1,0
CUST000105,42,Month-to-Month,Standard,5153.81,185753.33,M-Pesa,Urban,2,107.47,1,Y,0,1,0
CUST000106,5,1-Year,Standard,5007.58,27732.47,M-Pesa,Urban,1,,2,Yes,0,1,0
CUST000107,9,12 Months,Premium,11015.93,94106.17,Bank Transfer,Suburban,2,181.28,2,No,3,2,1
CUST000108,25,Month-to-Month,Standard,4300.52,107289.59,Bank Transfer,Urban,1,70.75,2,Y,1,1,1
CUST000109,4,Month-to-Month,Basic,1755.66,6583.64,Bank Transfer,Rural,3,27.05,3,True,2,2,1
CUST000110,1,Month-to-Month,Standard,5762.28,5184.65,M-Pesa,Suburban,1,135.42,1,Yes,0,0,0
CUST000111,6,Month-to-Month,Standard,4746.85,26441.6,M-Pesa,Urban,5,134.88,4,No,1,0,0
CUST000112,3,One Year,Basic,2870.59,7759.17,Cash,Urban,1,7.12,4,Yes,1,0,0
CUST000113,47,Month-to-Month,Standard,5432.48,275079.35,CASH,Suburban,2,98.55,2,No,3,1,1
CUST000114,29,One Year,Premium,9821.72,319651.36,M-Pesa,Urban,2,124.23,-1,Yes,1,1,1
